m,p,Lambda,rescale,model,terms,coeffs,sparsity,loss,R2,rel_L2,cond_G,coeff_err
"[9, 15]","[15, 12]",0.0001,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.0001623776739188721,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.00026366508987303583,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.00042813323987193956,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.0006951927961775606,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.0011288378916846883,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.0018329807108324356,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.002976351441631319,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.004832930238571752,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
"[9, 15]","[15, 12]",0.007847599703514606,True,u_{t} = + 0.00(1) + 0.12(u) - 0.00(u^2) + 0.01(u)_{x} - 0.27(u^2)_{x} + 0.04(u)_{xx} - 0.00(u^2)_{xx} + 0.01(u)_{xxx} - 0.06(u^2)_{xxx} - 0.09(u)_{xxxx} - 0.00(u^2)_{xxxx},"['(1)', '(u)', '(u^2)', '(u)_{x}', '(u^2)_{x}', '(u)_{xx}', '(u^2)_{xx}', '(u)_{xxx}', '(u^2)_{xxx}', '(u)_{xxxx}', '(u^2)_{xxxx}']","[0.002701493350211109, 0.11780739352327799, -0.0009988756521577154, 0.006610046532298761, -0.27314300419156984, 0.041542362638223425, -0.0036235805685752346, 0.007110046535349395, -0.05761425411185161, -0.09193467295020334, -0.00046782997677836035]",11,1.0,0.44621451501571585,0.744167644383465,75.12310105941377,1.0415423626382234
